,annotation_original,annotation_unique,annotation_unique_extra,blob
55,"5.15, 113, 117","H3a, H122, H125","H3a.15, H122, H125","Name Sitz
Anteil.
%
Eigenkapital.
TEUR
Ergebnis.
TEUR
Kornhaus Vertriebs-
GmbH
Kassel 100,00 2.124 0 1)
quindata GmbH Kassel 100,00 2.423 910
Frisch vom Hof GmbH Kassel indirekt 100,00 25 0 2)
Raiffeisen Technik Grasdorf
GmbH
Holle 85,00 477 -81
Raiffeisen Technik Nord
GmbH
Kassel 100,00 9.504 1.389
Raiffeisen Technik Nord-
Ost GmbH
Kruckow indirekt 100,00 2.942 202
Raiffeisen Technik Westküste
GmbH
Husum indirekt 100,00 7.585 1.263
Raiffeisen Technik HSL
GmbH
Bad Oldesloe indirekt 100,00 2.819 110
Raiffeisen Technik Ostküste
GmbH
Eckernförde indirekt 100,00 1.279 -837
Raiffeisen-Techni-Trak
GmbH
Buttelstedt 57,43 1.440 -68
Kaiser Mineralöl und
Tankstellen GmbH
Brilon 100,00 3.070 617
Karl-Heinz Büker Mineralöl
GmbH
Anröchte indirekt 55,00 261 88
RHV Raiffeisen Handelsund
Vermittlungsgesellschaft
mbH
Eichenzell 51,00 6.282 748
DHT Dämmstoff Handel
+ Technik GmbH
Hildesheim 100,00 4.682 376
DHT Dämmstoff Handel
+ Technik Stockstadt
GmbH
Stockstadt indirekt 100,00 1.017 -3
Raiffeisen Technik
GmbH (vormals:
TRALAG Landmaschinen
GmbH)
Kassel 100,00 995 24
Ehrhorn Landtechnik
GmbH
Kassel 100,00 19 -140
Agrarhandel Fallersleben
GmbH & Co. KG
Müden/Aller 100,00 2.128 23 3)
SFW Solar GmbH Müden/Aller 100,00 378 16 3)
AGRAVIS Technik
Raiffeisen GmbH
Northeim 50,00 3.431 -32 3)
Raiffeisen Vital Mischfutter
GmbH
Hamm 50,00 523 205
Wasserkraftnutzung im
Landkreis Gifhorn GmbH
Müden/Aller 50,00 349 51
Agrar-Logistik-Hafen-
Hamm GmbH
Hamm 33,33 6.028 205
Raiffeisen Waldeck-
Marsberg GmbH
Korbach 22,50 2.843 257 3)
GBK 1. Beteiligungs
GmbH & Co. KG
Kassel 2,07 430.927 8.858
1) Es besteht ein Ergebnisabführungsvertrag mit der RW GmbH
2) Es besteht ein Ergebnisabführungsvertrag mit der Kornhaus Vertriebs-GmbH
3) Zahlen 2015"
56,5.25,H3a,H3a.25,Forderungen und sonstige Vermögensgegenstände
57,"5.25, 7, 27","H3a, H5, H19","H3a.25, H5, H19","Konzern RW GmbH
31.12.2016.
TEUR
31.12.2015.
TEUR
31.12.2016.
TEUR
31.12.2015.
TEUR
1. Forderungen aus Lieferungen und Leistungen 85.517 80.811 53.840 54.337
(davon gegen Gesellschafter) (1.171) (1.245) (1.171) (1.245)
(davon mit einer Restlaufzeit von mehr als 1 Jahr) (206) (250) (206) (244)
2. Forderungen gegen verbundene Unternehmen 1.180 882 20.952 17.497
3. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
3.453 4.338 3.453 3.795
(davon mit einer Restlaufzeit von mehr als 1 Jahr) (41) (48) (41) (48)
4. Sonstige Vermögensgegenstände 17.092 13.022 12.232 10.517
(davon gegen Gesellschafter) (1) (1) (1) (1)
(davon mit einer Restlaufzeit von mehr als 1 Jahr) (386) (499) (355) (477)
107.242 99.053 90.477 86.146
davon mit einer Restlaufzeit von mehr als 1 Jahr gesamt: 633 797 602 769
In den Forderungen gegen verbundene Unternehmen sind enthalten:
Forderungen aus Lieferungen und Leistungen 136 733 3.034 3.022
Sonstige Vermögensgegenstände 1.044 149 17.918 14.475
In den Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis
besteht, sind enthalten:
Forderungen aus Lieferungen und Leistungen 393 1.187 393 644
Sonstige Vermögensgegenstände 3.060 3.151 3.060 3.151"
58,5.29,H3a,H3a.29,Sonstige Vermögensgegenstände
59,"5.29, 1, 28","H3a, H1a, H20a","H3a.29, H1a, H20a",Im Posten “Sonstige Vermögensgegenstände“ ist im Konzern ein antizipativer Betrag in Höhe von 1.378 TEUR (RW GmbH: 643 TEUR) aus Steuererstattungsansprüchen enthalten. Von dem Kassenbestand und Guthaben bei Kreditinstituten entfallen im Konzern auf Gesellschafterbanken 10 TEUR (RW GmbH: 1 TEUR).
60,5.37,H3a,H3a.37,Eigenkapital
61,"5.37, 4","H3a, H3","H3a.37, H3",Im Konzernabschluss wurde erstmalig der Deutsche Rechnungslegungs Standard Nr. 22 (DRS 22) für die Darstellung der Zusammensetzung und der Entwicklung des Konzerneigenkapitals gemäß § 297 Abs. 1 HGB angewendet. Zur klareren Darstellung wurden in diesem Zusammenhang die anteiligen Ergebnisse der Tochtergesellschaften sowie die Effekte aus den erfolgswirksam erfassten Konsolidierungsmaßnahmen im Rahmen der Gewinnverwendungsrechnung mit den Gewinnrücklagen des Konzerns verrechnet. Der Vorjahresbetrag wurde aus Gründen der Vergleichbarkeit entsprechend angepasst.
62,5.37,H3a,H3a.37,Unterschiedsbetrag aus der Kapitalkonsolidierung
63,5.37,H3a,H3a.37,Die aus der Kapitalkonsolidierung resultierenden passivischen Unterschiedsbeträge haben Rücklagen-Charakter. 
64,5.50,H3a,H3a.50,Die sonstigen Rückstellungen betreffen im Berichtsjahr im Wesentlichen:
65,"5.50, 1, 56","H3a, H1a, H56","H3a.50, H1a, H56","Die sonstigen Rückstellungen betreffen im Berichtsjahr im Wesentlichen:
Konzern.
TEUR
RW GmbH.
TEUR
Verpflichtungen im Personalbereich 4.182 2.556
Rückstellungen für Erhaltungsaufwand aus Großreparaturen (nach altem Recht) 1.972 1.972
Berufsgenossenschaftsbeiträge 1.060 817
Aufbewahrung von Geschäftsunterlagen 812 688"
66,5.51,H3a,H3a.51,Verbindlichkeiten
67,"5.51, 7, 27, 59, 60","H3a, H5, H19, H61, H62","H3a.51, H5, H19, H61, H62","31.12.2016.
TEUR
31.12.2015.
TEUR
31.12.2016.
TEUR
31.12.2015.
TEUR
1. Verbindlichkeiten gegenüber Kreditinstituten 160.457 156.354 125.253 125.155
(davon gegenüber Gesellschafterbanken) (13.795) (16.283) (10.828) (12.761)
davon Restlaufzeiten < 1 Jahr> 1 Jahr davon> 5 Jahre 101.832 58.625 6.397 106.708 49.646 10.492 89.250 36.003 4.342 81.624 43.531 8.830
2. Verbindlichkeiten aus Lieferungen und Leistungen 70.235 66.777 30.922 37.094
(davon gegenüber Gesellschaftern) (9) (25) (9) (23)
davon Restlaufzeiten < 1 Jahr> 1 Jahr davon> 5 Jahre 70.043 192 5 66.769 8 0 30.728 194 5 37.086 8 0
3. Verbindlichkeiten gegenüber verbundenen Unternehmen 2.811 3.261 13.572 7.870
davon Restlaufzeiten < 1 Jahr 2.811 3.261 13.572 7.870
4. Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis
besteht
505 204 815 204
davon Restlaufzeiten < 1 Jahr 505 204 815 204
5. Sonstige Verbindlichkeiten 22.804 29.654 18.265 26.116
(davon gegenüber Gesellschaftern) (139) (32) (139) (32)
davon Restlaufzeiten < 1 Jahr> 1 Jahr davon> 5 Jahre 22.772 32 0 29.615 39 7 18.227 38 0 26.087 29 6
31.12.2016.
TEUR
31.12.2015.
TEUR
31.12.2016.
TEUR
31.12.2015.
TEUR
256.812 256.250 188.827 196.439
davon mit einer Restlaufzeit
< 1 Jahr gesamt 197.963 206.557 152.592 152.871
> 1 Jahr gesamt 58.849 49.693 36.235 43.568
davon> 5 Jahre gesamt 6.402 10.499 4.347 8.836
In den Verbindlichkeiten gegenüber verbundenen Unternehmen sind enthalten:
Verbindlichkeiten aus Lieferungen und Leistungen 4 0 1.693 915
Sonstige Verbindlichkeiten 2.807 3.261 11.879 6.955
In den Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis
besteht, sind enthalten:
Verbindlichkeiten aus Lieferungen und Leistungen 402 204 712 204
Sonstige Verbindlichkeiten 103 0 103 0"
68,"5.54, 1, 61, 62","H3a, H1a, FS5, H63","H3a.54, H1a, FS5, H63",Die Verbindlichkeiten gegenüber Kreditinstituten sind im Konzern in Höhe von 47.172 TEUR (RW GmbH: 41.326 TEUR) durch Grundschulden sowie in Höhe von insgesamt 82.211 TEUR (RW GmbH: 53.407 TEUR) durch Sicherungsübereignung von Vorräten sowie die Abtretung von Forderungen aus Lieferungen und Leistungen besichert.
69,"5.35, 5.64, 35","H3a, H3a, H30","H3a.35, H3a.64, H30",Latente Steuern
70,"5.35, 5.64, 35, 37","H3a, H3a, H30, H31","H3a.35, H3a.64, H30, H31","Bei der Bewertung der latenten Steuern nach § 274 HGB, die sich aufgrund der Differenzen zwischen handels- und steuerrechtlichen Wertansätzen ergeben und sich in späteren Geschäftsjahren abbauen, wurden unternehmensindividuelle Steuersätze herangezogen. Dabei wurde die Körperschaftsteuer inklusive Solidaritätszuschlag mit 15,825 Prozent angesetzt, während für die Gewerbesteuer aufgrund unterschiedlicher Hebesätze Steuersätze zwischen 12 Prozent und 16 Prozent berücksichtigt wurden."
71,"5.35, 5.64, 1, 35, 37","H3a, H3a, H1a, H30, H31","H3a.35, H3a.64, H1a, H30, H31","Wesentliche aktive latente Steuern resultieren bei der RW GmbH und im Konzern aus den immateriellen Vermögensgegenständen, dem Sach- und Finanzanlagevermögen sowie den Pensions- und sonstigen Rückstellungen. Passive latente Steuern ergaben sich insbesondere aus dem Sach- und Finanzanlagevermögen. Insgesamt wurden die passiven latenten Steuern durch aktive Steuerlatenzen überkompensiert, die in Ausübung des Wahlrechts gemäß § 274 Abs. 1 Satz 2 HGB nicht aktiviert wurden."
72,"5.35, 5.64, 37","H3a, H3a, H31","H3a.35, H3a.64, H31","Im Konzernabschluss sind darüber hinaus passive latente Steuern enthalten, die überwiegend aus der Aufdeckung von stillen Reserven bei der Anwendung der Neubewertungsmethode resultieren."
73,"5.35, 5.64, 37","H3a, H3a, H31","H3a.35, H3a.64, H31","Konzern
2016.
TEUR
2015.
TEUR
Latente Steueransprüche
- Immaterielle Vermögensgegenstände 37 48
- Sachanlagevermögen 47 49
Konzern
2016.
TEUR
2015.
TEUR
84 97
Latente Steuerschulden
- Sachanlagevermögen 903 989
Latente Steuerschulden saldiert 819 892"
74,,None,None,Haftungsverhältnisse
75,"1, 63","H1a, H65","H1a, H65","Konzern RW GmbH
31.12.2016.
TEUR
31.12.2015.
TEUR
31.12.2016.
TEUR
31.12.2015.
TEUR
Verbindlichkeiten aus Bürgschaften 1.500 1.776 2.000 2.021
Verbindlichkeiten aus Gewährleistungsverträgen und schwebenden Rücknahmeverpflichtungen
26.664 30.007 13.448 12.491
Haftungsverhältnisse aus der Bestellung von Sicherheiten für fremde Verbindlichkeiten
0 0 1.020 1.020"
76,64,H66,H66,Auf Grundlage der aktuell vorliegenden Informationen - die insbesondere die Bonität sowie das Zahlungsverhalten der unmittelbar verpflichteten Schuldner betreffen - ist bei den Verbindlichkeiten aus Bürgschaften nicht mit einer Inanspruchnahme zu rechnen.
77,64,H66,H66,"Die Verbindlichkeiten aus Gewährleistungsverträgen betreffen im Konzern mit 20.224 TEUR (RW GmbH: 7.008 TEUR) Restwertgarantien aus Kundenfinanzierungen und schwebenden Rücknahmeverpflich- tungen aus Maschinengeschäften. Soweit nach unseren Erfahrungen mit Inanspruchnahmen aus diesen Gewährleistungen zu rechnen ist, wurde dem durch die Dotierung von Rückstellungen im Konzernabschluss in Höhe von 815 TEUR sowie bei der RW GmbH in Höhe von 130 TEUR Rechnung getragen. Da den Verpflichtungen im Übrigen jeweils die Maschinenwerte gegenüberstehen, werden weitergehende Inan- spruchnahmen nicht gesehen."
78,64,H66,H66,"Die Bedienung der fremden Verbindlichkeiten, für die Sicherheiten bestellt wurden, wird fortlaufend überwacht. Nach dem beobachtbaren Zahlungsverhalten ist auch hier keine Inanspruchnahme zu erwarten. "
79,68,H73,H73,"Derivative Finanzinstrumente, Bewertungseinheiten
Zur Steuerung gegenwärtiger und zukünftiger Preisrisiken werden im Warengeschäft derivative Finanzinstrumente in standardisierter Form, die an Warenterminbörsen gehandelt werden, eingesetzt. Da diese Geschäfte zur Preisabsicherung bei bestehenden Lagerbeständen bzw. abgeschlossenen physischen Kontrakten abgeschlossen wurden, erfolgt die Bildung einer Bewertungseinheit im Sinne des Ansatzes eines Portfolio-Hedges."
80,68,H73,H73,Zur Absicherung der Zinsänderungsrisiken bestehender kurzfristiger Finanzierungen wurden Zinssicherungsgeschäfte in Form von Swaps abgeschlossen. Der Zeitwert der derivativen Finanzinstrumente wurde anhand von Marktpreisen durch die Vertragspartner ermittelt.
81,68,H73,H73,Zum Bilanzstichtag bestehen folgende derivative Finanzinstrumente:
82,68,H73,H73,"Art Laufzeit bis
Nominalwert.
TEUR
beizulegender Zeitwert.
TEUR
Zinsbezogene Derivate
Swaps RW GmbH 1. Juli 2025 15.000 -2.000
Swaps RW GmbH 1. Oktober 2025 8.000 -1.686
Swaps weitere im Konzern 30. September 2021 1.600 -91
Art
Nominalwert.
TEUR
beizulegender Zeitwert.
TEUR
Preisbezogene Derivate (RW GmbH)
Futures Ernte 2016
Raps Verkauf 16.700 t 6.324 -338
Weizen Kauf 19.850 t 3.355 + 47
Futures Ernte 2017
Raps Verkauf 2.300 t 893 + 12
Weizen Verkauf 750 t 132 - 1"
83,,None,None,II. Gewinn- und Verlustrechnung
84,5.66,H3a,H3a.66,Umsatzerlöse
85,"5.66, 70, 71","H3a, None, None","H3a.66, None, None",Die Umsatzerlöse im Berichtsjahr wurden in folgenden Geschäftsfeldern erzielt:
86,"5.66, 1, 70, 71","H3a, H1a, None, None","H3a.66, H1a, None, None","Konzern.
Mio. EUR
RW GmbH.
Mio. EUR
Konzern.
Mio. EUR
RW GmbH.
Mio. EUR
Getreide 155,8 158,2 Futtermittel 41,1 38,4
Baustoffe 180,0 150,4 Saaten 23,0 22,5
Energie 358,8 127,0 Vieh 19,7 19,7
Technik 235,0 111,4 Märkte 17,0 17,0
Düngemittel 53,0 51,8 Sonstige 13,6 11,7
Pflanzenschutzmittel 48,3 47,8 Kartoffeln 4,7 4,7
1.150,0 760,6"
87,,None,None,Außergewöhnliche und periodenfremde Erträge und Aufwendungen
88,"78, 79, 84","H84, H84, H89","H84, H84, H89",In den folgenden Posten der Gewinn- und Verlustrechnung sind wesentliche außergewöhnliche oder periodenfremde Erträge und Aufwendungen enthalten:
89,"1, 78, 79, 84","H1a, H84, H84, H89","H1a, H84, H84, H89","Konzern.
TEUR
RW GmbH.
TEUR
Sonstige betriebliche Erträge
- Buchgewinne aus Anlageverkäufen 2.838 2.736
- Auflösung von Rückstellungen 2.679 1.864
- Auflösung von Wertberichtigungen 1.760 1.229
- Zuschreibung und Nachaktivierung von Sachanlagen 545 98
Sonstige betriebliche Aufwendungen
- Zuweisungen zu Wertberichtigungen und Abschreibungen auf Forderungen 1.602 1.030
Steuern vom Einkommen und vom Ertrag
- Steuernachzahlungen für Vorjahre 968 713
Sonstige Steuern
- Grunderwerbsteuer 557 557"
90,,None,None,F. Sonstige Angaben
91,,None,None,Sonstige finanzielle Verpflichtungen
92,"97, 98","H104, H105","H104, H105","Es bestehen folgende, nicht in der Bilanz ausgewiesene oder vermerkte finanzielle Verpflichtungen, die für die Beurteilung der Finanzlage von Bedeutung sind:"
93,"1, 97, 98","H1a, H104, H105","H1a, H104, H105","Konzern.
TEUR
RW GmbH.
TEUR
Miet-, Pacht- und Erbbaurechtsverpflichtungen 31.797 20.342
(davon gegenüber verbundenen Unternehmen) (480) (13.680)
(davon gegenüber assoziierten Unternehmen) (21.717) (0)
Leasingverpflichtungen 1.140 190
Restverpflichtung aus der Bestellung von Investitionsgütern und sonstige finanzielle Verpflichtungen 3.190 1.754
Haftsummen aus der Beteiligung an Genossenschaften 1.048 1.048
37.175 23.334"
94,,None,None,"Mitarbeiter
Die gemäß § 267 Abs. 5 HGB ermittelte Anzahl der Beschäftigten betrug in 2016:"
95,"90, 91","FS57a, FS58","FS57a, FS58",Die gemäß § 267 Abs. 5 HGB ermittelte Anzahl der Beschäftigten betrug in 2016:
96,"1, 90, 91","H1a, FS57a, FS58","H1a, FS57a, FS58","Konzern RW GmbH
Vollzeit Angestellte 982 765
Konzern RW GmbH
Lohnempfänger 949 634
Teilzeit Angestellte 162 120
Lohnempfänger 17 13
2.110 1.532"
97,"1, 90, 91","H1a, FS57a, FS58","H1a, FS57a, FS58","Auszubildende wurden im Durchschnitt beschäftigt : Konzern 271, RW GmbH 193. "
98,"1, 127, 128","H1a, E44, E45","H1a, E44, E45","Organbezüge 
Die Gesamtbezüge für die Tätigkeiten im Geschäftsjahr betrugen für die Mitglieder des Aufsichtsrates 198 TEUR. Die Gesamtbezüge der Geschäftsführung bei der RW GmbH betrugen im Geschäftsjahr 823 TEUR."
99,"135, 136","E49, E50","E49, E50",Frühere Mitglieder der Geschäftsführung und ihre Hinterbliebenen erhielten 207 TEUR. Für Pensionsverpflichtungen gegenüber diesem Personenkreis sind 4.609 TEUR zurückgestellt worden. 
100,"105, 106","E38d, E39","E38d, E39","Gesamthonorar des Konzern-Abschlussprüfers
Für die im Berichtsjahr erbrachten Leistungen des Abschlussprüfers (Einzel- und Konzernabschlussprüfung sowie Prüfung von 8 Tochtergesellschaften) sind folgende Honorare als Aufwand erfasst worden:"
101,"105, 106","E38d, E39","E38d, E39","TEUR
a) Abschlussprüfungsleistungen 411
(davon für das Vorjahr) (26)
b) Andere Bestätigungsleistungen 7
c) Sonstige Leistungen 0
418"
102,126,E43,E43,Organe der Gesellschaft Aufsichtsrat
103,126,E43,E43,"Hans-Wernher von Loewenstein zu Loewenstein, Vorsitzender Dipl.-Ing. agr., Landwirt
Angelika Sell, stellvertretende Vorsitzende Betriebsratsvorsitzende, kaufmännische Angestellte der Raiffeisen Waren GmbH, Kassel
Karl-Heinz Gräser (bis 1. Februar 2016), zweiter stellvertretender Vorsitzender Vorstandsmitglied der VR Bank Schwalm-Eder Volksbank Raiffeisenbank eG, Homberg/
Efze (bis 30. Juni 2015)
Cornelia Bahlke kaufmännische Angestellte der Raiffeisen Waren GmbH, Kassel
Frank Baumgarten (ab 1. Januar 2017) Landwirt
Hinnerk Bode-Kirchhoff Landwirt
Karl-Friedrich Bunse kaufmännischer Angestellter der quindata GmbH, Kassel
Dr. Lars Fliege Dipl. Agrar Ing., Landwirt, Geschäftsführer der Agrargesellschaft Pfiffelbach mbH, Pfiffelbach
Ralph Kehl Vorstandsmitglied der VR Bank HessenLand eG, Alsfeld
Dr. Thomas Kettern Bereichsleiter Corporate Finance DZ BANK AG, München
Henning Pistorius (bis 31. Dezember 2016) Dipl. Agrar Ing., Landwirt
Hubert Röbig Vorstandsmitglied der VR-Genossenschaftsbank Fulda eG, Fulda
Manuel Sauer Bankkaufmann, Gewerkschaftssekretär ver.di
Edgar Schneider (bis 30. Juni 2016) Verbandsdirektor Genossenschaftsverband e. V., Hannover (bis 30. Juni 2016)
Marco Schulz (ab 1. Juli 2016) Verbandsdirektor Genossenschaftsverband e. V., Hannover
Arnd Sievers Assessor jur., leitender Angestellter der Raiffeisen Waren GmbH, Kassel
Sylvia Töngi Assessorin jur., Gewerkschaftssekretärin ver.di
Nadine von Grünhagen kaufmännische Angestellte der Raiffeisen Waren GmbH, Kassel
Katharina Wendt kaufmännische Angestellte der Raiffeisen Technik HSL GmbH, Bad Oldesloe"
104,126,E43,E43,Geschäftsführung:
105,126,E43,E43,"Reinhard Stieglitz, Vorsitzender der Geschäftsführung Technik, Baustoffe, Recycling, Unternehmensstrategie, Marketing
Markus Braun Finanz- und Rechnungswesen, IT/Datenverarbeitung, Verwaltung, Recht, Gesellschafter,
Controlling, Datenschutz, Revision
Dr. Dirk Köckler (ab 1. Januar 2017) Agrar
Jörn Pistorius Energie, Märkte, Personal"
106,"99, 100","None, None","None, None",Ergebnisverwendungsvorschlag
107,"99, 100","None, None","None, None","Bilanzgewinn 7.177.079,27 EUR
Die Geschäftsführung schlägt in Übereinstimmung mit dem Aufsichtsrat vor, den Bilanzgewinn zur Ausschüttung einer Dividende von 5 Prozent - 767.500,00 EUR
zu verwenden und den anderen Gewinnrücklagen einen Betrag von - 6.400.000,00 EUR
zuzuweisen sowie den verbleibenden Betrag von 9.579,27 EUR
auf neue Rechnung vorzutragen"
108,,None,None,"Kassel, 3. April 2017"
109,,None,None,I. Allgemeine Angaben zu Bilanzierungs- und Bewertungsmethoden
110,"8.0, 9","H7, H10a","H7.0, H10a","Die Gliederung des Jahresabschlusses der Media Markt TV-HiFi-Elektro GmbH München-Pasing, München, erfolgt unter Anwendung
der §§ 265 ff. HGB. Für die Gewinn- und Verlustrechnung wird dabei das Gesamtkostenverfahren zugrunde gelegt."
111,8.0,H7,H7.0,Die Bewertung entspricht den für Kapitalgesellschaften geltenden Vorschriften des HGB.
112,,None,None,II. Angaben zu einzelnen Bilanzposten
113,4.2,H3a,H3a.2,"Die immateriellen Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten,
vermindert um Abschreibungen, angesetzt. Die Abschreibungen erfolgen nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer."
114,"4.7, 8","H3a, H7","H3a.7, H7","Die Vermögensgegenstände des Sachanlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten, vermindert um
Abschreibungen, angesetzt. Sämtliche Vermögensgegenstände werden stets nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer abgeschrieben. Für Zugänge bei beweglichen Vermögensgegenständen
des Sachanlagevermögens wird die anteilige Jahresabschreibung (pro rata temporis) verrechnet. Geringwertige Anlagegüter mit
einem Einzelwert bis einschließlich EUR 150,00 werden im Zeitpunkt ihrer Anschaffung unmittelbar als Aufwand erfasst.
Geringwertige Anlagegüter mit einem Einzelwert zwischen EUR 150,00 und EUR 1.000,00 werden im Zeitpunkt des Zugangs in einem
Sammelposten aktiviert. Der Sammelposten wird im Jahr der Bildung und in den folgenden vier Jahren mit jeweils 20 %
abgeschrieben."
115,"4.1, 15, 16","H3a, H17a, H17b","H3a.1, H17a, H17b",Die Entwicklung des Anlagevermögens wird auf den Seiten 6 und 7 dargestellt.
116,"4.20, 8","H3a, H7","H3a.20, H7","Bei den Vorräten werden Waren zu Anschaffungskosten unter Beachtung des Niederstwertprinzips bewertet. Für Lagerrisiken und
nicht vollwertige Bestände werden warengruppenspezifische Bewertungsabschläge auf die Vorräte vorgenommen."
117,4.25,H3a,H3a.25,"Die Forderungen und sonstigen Vermögensgegenstände sind mit dem Nennwert angesetzt. Auf zweifelhafte Forderungen werden
Einzelwertberichtigungen gebildet. In den sonstigen Vermögensgegenständen sind sonstige Forderungen in Höhe von EUR
115.515,62 (i. Vj. EUR 126.208,60) mit einer Restlaufzeit von mehr als einem Jahr enthalten. Alle übrigen Forderungen haben eine
Restlaufzeit bis zu einem Jahr."
118,"4.27, 20","H3a, H19","H3a.27, H19","Die Forderungen gegen verbundene Unternehmen sind mit dem Nennwert angesetzt. Sie beinhalten Forderungen gegen die
Gesellschafterin Media-Saturn Deutschland GmbH, Ingolstadt, in Höhe von EUR 1.642.957,19 (i. Vj. EUR 1.897.630,75)."
119,"4.27, 8","H3a, H7","H3a.27, H7","In den Forderungen gegen verbundene Unternehmen sind Forderungen aus Lieferungen und Leistungen gegen verbundene
Unternehmen in Höhe von EUR 187.511,45 (i. Vj. EUR 164.979,80) enthalten."
120,"4.29, 8","H3a, H7","H3a.29, H7","Die sonstigen Vermögensgegenstände enthalten Bonusforderungen, die erst nach dem Bilanzstichtag fällig werden."
121,"4.35, 4.64, 24","H3a, H3a, H30","H3a.35, H3a.64, H30","Latente Steuern werden für sich in den folgenden Geschäftsjahren voraussichtlich abbauende Unterschiede zwischen den
handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten
ermittelt und unverrechnet ausgewiesen."
122,"4.35, 4.64, 31","H3a, H3a, H46","H3a.35, H3a.64, H46","Die ausgewiesenen aktiven latenten Steuern übersteigen die passiven latenten Steuern um EUR 10.432,30. Gemäß § 285 Nr. 28 HGB
in Verbindung mit § 268 Abs. 8 HGB besteht eine Ausschüttungssperre in dieser Höhe."
123,4.38,H3a,H3a.38,"Das gezeichnete Kapital der Gesellschaft beträgt DEM 200.000,00 (EUR 102.258,38)."
124,"4.47, 34","H3a, H50","H3a.47, H50","Die Rückstellungen sind mit dem Erfüllungsbetrag angesetzt, der nach vernünftiger kaufmännischer Beurteilung notwendig ist.
Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr sind mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen
Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst worden. Rückstellungen für Altersversorgungsverpflichtungen oder
vergleichbare langfristig fällige Verpflichtungen werden pauschal mit dem durchschnittlichen Marktzinssatz abgezinst, der sich bei
einer angenommenen Restlaufzeit von 15 Jahren ergibt."
