,annotation_original,annotation_unique,annotation_unique_extra,blob
138,8.0,H7,H7.0,Die BP ESE ist eine große Kapitalgesellschaft im Sinne des § 267 Abs. 3 HGB.
139,7,H6,H6,Im Interesse der Übersichtlichkeit werden in der Bilanz und in der Gewinn- und Verlustrechnung einzelne Posten zusammengefasst und im Anhang gesondert ausgewiesen. Die Ziffern in der Bilanz und der Gewinn- und Verlustrechnung verweisen auf die Angaben im Anhang. Sämtliche Einzelposten wurden auf volle Tausend Euro (TEUR) gerundet.
140,1,H1b,H1b,Im Geschäftsjahr 2016 hat die Gesellschaft bei der Aufstellung des Jahresabschlusses erstmals die durch das Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) geänderten handelsrechtlichen Vorschriften angewendet. Das handelsrechtliche Gliederungsschema der Gewinn- und Verlustrechnung 2015 wurde angepasst und die betroffenen Posten neu zugeordnet.
141,8.0,H7,H7.0,Der Ausweis der Aufwandsarten in der Gewinn- und Verlustrechnung der BP ESE ist beeinflusst durch die Trennung von vermögens- und personalhaltenden Gesellschaften.
142,8.0,H7,H7.0,Das den jeweiligen Betriebsführungsgesellschaften durch die BP ESE erstattete Betriebsführungsentgelt führt bei den Betriebsführungsgesellschaften grundsätzlich zu einem ausgeglichenen Ergebnis. Darüber hinaus gegebenenfalls verbleibende Aufwendungen werden über bestehende Ergebnisabführungsverträge ausgeglichen. Insoweit sind alle Risiken insbesondere aus bestehenden Haftungsverhältnissen gegenüber den Betriebsführungsgesellschaften gemäß § 285 Nr. 27 HGB durch die BP ESE abgedeckt. Mit einer Inanspruchnahme ist auf Grund des gesellschaftsrechtlichen Verbunds nicht zu rechnen. Die Aufwendungen aus Betriebsführung bei der BP ESE werden unter den sonstigen betrieblichen Aufwendungen und dem Materialaufwand - unabhängig von der ursprünglichen Aufwandsart - ausgewiesen.
143,,None,None,(2) Konzernabschluss
144,92,H118,H118,"Die BP p.l.c., London/ UK, (BP plc) stellt als Muttergesellschaft des internationalen BP Konzerns für den größten Kreis von Unternehmen einen weltweiten Konzernabschluss auf. Dieser Abschluss wird sowohl in London als auch bei der BP ESE in Hamburg erhältlich sein."
145,"86, 93","E38a, H120","E38a, H120","Die BP ESE hat für das Geschäftsjahr 2016 davon abgesehen, einen Konzernabschluss nach § 290 HGB aufzustellen. Stattdessen werden gemäß § 291 Abs. 1 und 2 HGB der in die deutsche Sprache übersetzte Konzernabschluss und Konzernlagebericht der BP plc, ebenso wie der Jahresabschluss und Lagebericht der BP ESE, im Bundesanzeiger veröffentlicht. Die BP plc stellt seit dem 31. Dezember 2005 ihren Konzernabschluss nach IFRS auf. Die nach § 291 Abs. 2 Nr. 4c HGB zu erläuternden Abweichungen der im befreienden Konzernabschluss nach IFRS im Unterschied zum deutschen Recht angewandten Bilanzierungs-, Bewertungs- und Konsolidierungsmethoden lassen sich wie folgt zusammenfassen:"
146,86,E38a,E38a,"–abweichende Allokation des Kaufpreises für die VEBA OEL Aktiengesellschaft und abweichende Fortschreibung eines Geschäfts- oder Firmenwertes sowie aufgedeckter stiller Reserven (IFRS 3, IAS 36, IAS 38, IAS 31)"
147,86,E38a,E38a,"–abweichende Allokation des Kaufpreises für die von Chevron erworbenen Minderheitsanteile an der BP Raffinaderij Rotterdam B.V., Rotterdam/ Niederlande, (BP RR) und abweichende Fortschreibung eines Geschäfts- oder Firmenwertes (IFRS 3, IAS 36, IAS 38)"
148,86,E38a,E38a,–unterschiedliche Abgrenzung zwischen Herstellungskosten und Erhaltungsaufwand (IAS 16)
149,86,E38a,E38a,"–abweichender Ansatz der Gegenstände des Sachanlagevermögens, Komponentenansatz versus Großwirtschaftsgutbetrachtung (IAS 16)"
150,86,E38a,E38a,–unterschiedliche Behandlung der Hedgingergebnisse (IAS 39)
151,86,E38a,E38a,–keine Bilanzierung von Sonderposten mit Rücklageanteil (IAS 16)
152,86,E38a,E38a,–unterschiedliche Anwendung von Bewertungsvereinfachungsverfahren im Vorratsvermögen (IAS 2)
153,86,E38a,E38a,–abweichender Ausweis von Emissionsrechten (IAS 38)
154,86,E38a,E38a,–keine Bilanzierung von Pauschalwertberichtigungen auf Forderungen (IAS 39)
155,86,E38a,E38a,–unterschiedlicher Ausweis der Erträge aus der Auflösung von Rückstellungen (IAS 1)
156,86,E38a,E38a,–abweichende Bewertung von Pensionsrückstellungen (IAS 19)
157,86,E38a,E38a,–eingeschränkter Ansatz von Rückstellungen für Reparatur- und Instandhaltungsverpflichtungen sowie von Drohverlustrückstellungen (IAS 37)
158,86,E38a,E38a,"–abweichender Ansatz von Rückstellungen für Abbruchverpflichtungen (IAS 16, IAS 37, IFRIC 1)"
159,86,E38a,E38a,"–unterschiedliche Bewertung von Rückstellungen für Rückbauverpflichtungen (IAS 16, IAS 37, IFRIC 1)"
160,86,E38a,E38a,–unterschiedliche Bewertung auf Grund abweichender Abzinsungssätze bei langfristigen Rückstellungen (IAS 37)
161,86,E38a,E38a,"–abweichende Konsolidierungsgrundsätze bei der Konsolidierung von Beteiligungsunternehmen (IFRS 10, IFRS 11)"
162,86,E38a,E38a,–unterschiedliche Annahmen beim Ansatz der sonstigen finanziellen Verpflichtungen (IAS 1)
163,86,E38a,E38a,–abweichender Ansatz von latenten Steuern (IAS 12)
164,86,E38a,E38a,–unterschiedliche Abgrenzung und Ausweis von zur Veräußerung gehaltenen langfristigen Vermögenswerten und aufgegebenen Geschäftsbereichen (IFRS 5)
165,86,E38a,E38a,"–unterschiedlicher Ansatz bei der Berücksichtigung von außerplanmäßigen Wertminderungen von Vermögensgegenständen des Anlagevermögens (IAS 36, IAS 39)"
166,8.0,H7,H7.0,(3) Währungsumrechnung
167,8.0,H7,H7.0,"Die Umrechnung der Bilanzwerte sowie der Werte in der Gewinn- und Verlustrechnung der in den Jahresabschluss einbezogenen ausländischen Zweigniederlassungen erfolgt zu Konzernkursen. In der Bilanz erfolgt die Umrechnung zum Stichtagskurs und in der Gewinn- und Verlustrechnung zum Durchschnittskurs. Hiervon betroffen sind insbesondere die polnische Zweigniederlassung, deren Bücher in polnischen Zloty geführt werden, die Zweigniederlassung in der Schweiz, deren Bücher in Schweizer Franken geführt werden sowie die ungarische Zweigniederlassung, deren Bücher in ungarischen Forint geführt werden. Darüber hinaus wird diese Umrechnung für je eine Berichtseinheit der belgischen und der niederländischen Zweigniederlassung angewendet, deren Bücher in US-Dollar geführt werden. Die Umrechnungsdifferenzen werden erfolgswirksam erfasst."
168,8.0,H7,H7.0,Die Vermögensgegenstände und Verbindlichkeiten in fremder Währung werden am Abschlussstichtag grundsätzlich mit dem Devisenkassamittelkurs bewertet. Entsprechend dem § 256a HGB wird das Niederst- wert- bzw. das Höchstwertprinzip für Vermögensgegenstände und Verbindlichkeiten mit einer Restlaufzeit von bis zu einem Jahr nicht angewendet.
169,,None,None,"(4) Ansatz-, Ausweis- und Bewertungsmethoden"
170,"8.0, 10, 59","H7, H11, H76","H7.0, H11, H76",Die Wahl der Bilanzierungsmethoden erfolgt nach dem Prinzip der Stetigkeit. Die für die Aufstellung des Jahresabschlusses der BP ESE maßgebenden Bilanzierungs- und Bewertungsmethoden sind gegenüber dem Vorjahr im Wesentlichen unverändert. Unterschiede zum Vorjahr ergeben sich im Wesentlichen auf Grund der Neuregelungen des BilRUG.
171,8.0,H7,H7.0,Auf die in den Jahresabschluss der BP ESE einbezogenen Zweigniederlassungen werden grundsätzlich dieselben Bilanzierungs- und Bewertungsmethoden angewendet.
172,8.3,H7,H7.3,"Selbst geschaffene immaterielle Vermögensgegenstände des Anlagevermögens werden zu Herstellungskosten, bestehend aus den Material- und Fertigungseinzelkosten sowie notwendigen Gemeinkostenbestand- teilen, aktiviert. Die entgeltlich erworbenen immateriellen Vermögensgegenstände des Anlagevermögens werden mit ihren Anschaffungskosten bewertet. Geschäfts- oder Firmenwerte werden gemäß ihrer be- triebsgewöhnlichen Nutzungsdauer abgeschrieben. Die Schätzung der individuellen voraussichtlichen Nutzungsdauer der Geschäfts- oder Firmenwerte basiert auf der Stabilität und Bestandsdauer der Branche, den konstanten wirtschaftlichen Rahmenbedingungen und dem Lebenszyklus der Produkte der erworbenen Unternehmen. Der Abschreibung von EDV-Software wird eine Nutzungsdauer von vier bis fünf Jah- ren zugrunde gelegt. Alle übrigen Vermögensgegenstände werden entsprechend ihrer vertraglichen Laufzeit linear abgeschrieben. Immaterielle Vermögensgegenstände werden im Jahr nach ihrer vollständigen Abschreibung im Anlagenspiegel als Abgang ausgewiesen. Soweit der beizulegende Wert dauerhaft unter den fortgeführten Anschaffungskosten liegt, werden außerplanmäßige Abschreibungen vorgenommen. Zuschreibungen erfolgen, wenn die Gründe für die seinerzeit vorgenommene außerplanmäßige Abschreibung nicht mehr bestehen."
173,8.7,H7,H7.7,Die Bewertung der Sachanlagen erfolgt zu Anschaffungs- oder Herstellungskosten. Die Herstellungskosten enthalten die Material- und Fertigungseinzelkosten sowie die notwendigen Gemeinkostenbestandteile. Abschreibungen werden planmäßig nach branchenüblichen Nutzungsdauern vorgenommen.
174,8.7,H7,H7.7,"Gebäude und bewegliche, abnutzbare Anlagegegenstände werden über deren voraussichtliche Nutzungsdauer abgeschrieben. Die Abschreibung auf Zugänge an beweglichen Anlagegegenständen erfolgt zeitan- teilig."
175,8.7,H7,H7.7,"Geringwertige Wirtschaftsgüter werden grundsätzlich bis zu länderspezifisch festgelegten Wertgrenzen (zwischen EUR 150 und EUR 832) im Jahr des Zugangs in den Aufwendungen erfasst. Für von der BP ESE in Deutschland genutzte bewegliche Anlagegüter mit Anschaffungskosten von mehr als EUR 150 bis EUR 1.000 wird ein Sammelposten gebildet, der linear über fünf Jahre abgeschrieben wird."
176,8.7,H7,H7.7,"Sofern bei Sachanlagen außerplanmäßige Abschreibungen auf Grund dauerhafter Wertminderung notwendig sind, werden diese vorgenommen. Zuschreibungen erfolgen, wenn die Gründe für die seinerzeit vorgenommene außerplanmäßige Abschreibung nicht mehr bestehen."
177,8.12,H7,H7.12,Finanzanlagen werden zu Anschaffungskosten unter Berücksichtigung von notwendigen Abschreibungen und erforderlichen Wertaufholungen bilanziert. Die Ausleihungen werden mit ihrem Nennwert bzw. Barwert bilanziert.
178,8.0,H7,H7.0,"Außerplanmäßige Abschreibungen zur Berücksichtigung des niedrigeren beizulegenden Wertes werden vorgenommen, soweit die Wertminderung nicht von vorübergehender Natur ist. Zuschreibungen erfolgen, wenn die Gründe für die seinerzeit vorgenommene außerplanmäßige Abschreibung nicht mehr bestehen."
179,8.20,H7,H7.20,"Bei den Vorräten werden grundsätzlich die Roh-, Hilfs- und Betriebsstoffe und die Handelswaren zu Anschaffungskosten sowie die fertigen und unfertigen Erzeugnisse mit ihren Herstellungskosten angesetzt. Die Herstellungskosten enthalten die Material- und Fertigungseinzelkosten sowie die notwendigen Gemeinkostenbestandteile."
180,8.20,H7,H7.20,"Die Vorräte werden grundsätzlich nach der Durchschnittsmethode bewertet. Dem Niederstwertprinzip wird, soweit erforderlich, durch Abschreibungen Rechnung getragen."
181,8.20,H7,H7.20,"Die auf selbstversteuerte Produkte entfallende Energiesteuer wird, soweit sie auf am Bilanzstichtag auszuweisende Vermögensgegenstände des Vorratsvermögens entfällt, als Bestandteil der Herstellungskosten im Vorratsvermögen ausgewiesen."
182,8.21,H7,H7.21,"Die Biorechte sind kurzfristige immaterielle Vermögensgegenstände und werden in den Roh-, Hilfs- und Betriebsstoffen im Vorratsvermögen bilanziert. Biorechte entstehen durch Beimischung von Biokraftstoffen zu Otto- und Dieselkraftstoffen über die gesetzliche Vorgabe hinaus. Seit 2015 ist die prozentuale Reduzierung der Treibhausgasemissionen für fertige Produkte gesetzlich vorgeschrieben, die durch Beimischung von mehr oder höherwertigen Biokraftstoffen erreicht wird. Die Bewertung der Biorechte erfolgt zu Herstellungskosten. In der Gewinn- und Verlustrechnung wird der Ertrag oder Aufwand aus der Veränderung des aktivierten Betrages unter dem Posten Veränderung des Bestandes an fertigen und unfertigen Erzeugnissen ausgewiesen. Sofern eine Untererfüllung der gesetzlichen Vorgabe vorliegt, wird für die Verpflichtung eine sonstige Rückstellung gebildet."
183,"8.21, 26","H7, H29","H7.21, H29","Emissionsrechte werden als kurzfristige immaterielle Vermögensgegenstände in den Roh-, Hilfs- und Betriebsstoffen bilanziert. Unentgeltlich erworbene Emissionsrechte werden mit EUR 0,00 angesetzt. Die im Rahmen der Zuteilung anfallenden Kosten werden im Geschäftsjahr der Zuteilung aufwandswirksam erfasst. Entgeltlich erworbene Emissionsrechte werden zu Anschaffungskosten aktiviert. Die Bewertung erfolgt zum gleitenden Durchschnittswert bzw. zum niedrigeren Marktpreis am Bilanzstichtag."
184,8.25,H7,H7.25,Die Forderungen und sonstigen Vermögensgegenstände werden zum Nennwert unter Abzug notwendiger Einzelwertberichtigungen ausgewiesen. Dem allgemeinen Kreditrisiko wird durch den Ansatz von Pauschalwertberichtigungen Rechnung getragen.
185,8.33,H7,H7.33,Die liquiden Mittel werden zum Nennwert ausgewiesen.
186,"8.34, 25","H7, H28","H7.34, H28","Der aktive Rechnungsabgrenzungsposten enthält Ausgaben vor dem Bilanzstichtag, die zu Aufwendungen in kommenden Perioden führen. Disagiobeträge werden grundsätzlich aktiviert und über die Laufzeit der zugrunde liegenden Verbindlichkeit planmäßig aufgelöst."
187,"8.35, 27","H7, H30","H7.35, H30",In Ausübung des Wahlrechts des § 274 Abs. 1 S. 2 HGB bleiben aktive latente Steuern unberücksichtigt.
188,"8.0, 62","H7, None","H7.0, None","In Höhe der steuerlich zulässigen Beträge wurden bis zum 31. Dezember 2009 unversteuerte Rücklagen als Sonderposten mit Rücklageanteil ausgewiesen, soweit die steuerliche Anerkennung den Ausweis in der Handelsbilanz voraussetzte. Die BP ESE hat von dem Fortführungswahlrecht gemäß Art. 67 Abs. 3 EGHGB Gebrauch gemacht und die Sonderposten mit Rücklageanteil weiterhin bilanziert."
189,"8.48, 41","H7, H50","H7.48, H50",Zum 31. Dezember 2016 wurden die Rückstellungen für Pensionen und ähnliche Verpflichtungen nach versicherungsmathematischen Grundsätzen auf Grundlage des Anwartschaftsbarwertverfahrens (Projected Unit Credit Method) berechnet.
190,"8.48, 41","H7, H50","H7.48, H50",In 2010 erfolgte eine Neubewertung der Pensionsrückstellungen aufgrund des Bilanzrechtsmodernisierungsgesetzes (BilMoG). Der verbleibende Unterschiedsbetrag zum 31. Dezember 2015 betrug TEUR 154.627 und wurde im Geschäftsjahr vollständig den Rückstellungen zugeführt.
191,"8.48, 41, 42","H7, H50, H51","H7.48, H50, H51","Der Rückstellungsbetrag wird nach versicherungsmathematischen Grundsätzen mit dem ermittelten Barwert unter Berücksichtigung des von der Bundesbank veröffentlichten durchschnittlichen Marktzinssatzes der letzten zehn (Vorjahr: sieben) Jahre grundsätzlich angesetzt. Für das letzte Quartal des Geschäftsjahres wurde anstelle des von der Bundesbank veröffentlichten Zinssatzes unter Berücksichtigung der von der Bundesbank angewandten Ermittlungsmethodik eine Prognose des durchschnittlichen Marktzinssatzes der letzten zehn Jahre zum 31.12. von 4,0 % vorgenommen. Im Vorjahr erfolgte die Prognose des durchschnittlichen Marktzinssatzes auf Basis der letzten sieben Jahre in Höhe von 3,89 %. Der Unterschiedsbetrag zwischen den angesetzten Rückstellungen und den Rückstellungen, die sich bei einem durch- schnittlichen Marktzinssatz der letzten sieben Jahre ergeben würde, beträgt TEUR 136.022. Bei der Wahl des Zinssatzes wird eine pauschale Restlaufzeit der Pensionsverpflichtungen von 15 Jahren unterstellt."
192,"8.48, 41","H7, H50","H7.48, H50","In die Berechnung der Rückstellungen für Pensionen und ähnliche Verpflichtungen wurden für die BP ESE Deutschland erwartete Lohn- und Gehaltssteigerungen in Höhe von 2,9 % (Vorjahr 3,1 %) sowie ein Rententrend in Höhe von 1,5 % (Vorjahr 1,6 %) einbezogen. Basis sind die biometrischen Rechnungsgrundlagen der ""Richttafeln 2005 G"" von Klaus Heubeck."
193,"8.48, 41","H7, H50","H7.48, H50","Für die österreichische Zweigniederlassung wurde als Rechnungsgrundlage die AVÖ 2008-P – Pagler & Pagler ohne erwartete Lohn- und Gehaltssteigerungen und einem Pensionstrend in Höhe von 0,5 % (Vorjahr 0,4 %) zugrunde gelegt."
194,"8.36, 8.48","H7, H7","H7.36, H7.48","Sofern die gesetzlichen Voraussetzungen für das Vorliegen von Planvermögen erfüllt sind, werden die Vermögensgegenstände mit den Schulden aus Altersversorgungsverpflichtungen saldiert."
195,"8.36, 8.48","H7, H7","H7.36, H7.48","Die Bewertung des Planvermögens erfolgt nach dem Anwartschaftsbarwertverfahren. Basis stellen die biometrischen Rechnungsgrundlagen der DAV Sterbetafeln 1994 R und 2004 R dar. Der Berechnung wurden Zinssätze von 1,75 % bis 4,00 % zugrunde gelegt."
196,8.49,H7,H7.49,"Die Steuerrückstellungen und die sonstigen Rückstellungen tragen den erkennbaren Risiken, ungewissen Verbindlichkeiten und drohenden Verlusten in angemessenem Umfang Rechnung. Die Bewertung erfolgt in der Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages, künftig erwartete Preis- und Kostensteigerungen werden berücksichtigt. Rückstellungen mit einer Laufzeit von mehr als einem Jahr werden mit dem von der Bundesbank veröffentlichten durchschnittlichen Marktzinssatz der letzten sieben Geschäftsjahre abgezinst."
197,"8.50, 26","H7, H29","H7.50, H29","Für die Verpflichtung zur Rückgabe von CO2-Emissionsrechten wird eine Rückstellung gebildet. Soweit CO2-Emissionsrechte zur Verfügung stehen, erfolgt die Bewertung der Rückstellung zum Wert der aktivierten Rechte. Es wird davon ausgegangen, dass zur Erfüllung der Rückgabeverpflichtung zuerst die unentgeltlich und dann die entgeltlich erworbenen Rechte eingesetzt werden."
198,8.51,H7,H7.51,"Die Verbindlichkeiten werden zum Erfüllungsbetrag, die Rentenverpflichtungen grundsätzlich mit dem Barwert bilanziert. Die Verbindlichkeiten gegenüber dem PENSIONS-SICHERUNGS-VEREIN Versiche- rungsverein auf Gegenseitigkeit, Köln, (PSVaG) werden auf Grund der Regelung der gesetzlichen Insolvenzsicherung für betriebliche Altersversorgung (§§ 10 II, 30i BetrAVG) vom 2. Dezember 2006 unter Anwendung eines Zinssatzes in Höhe von 3 % p.a. mit dem Barwert bilanziert."
199,8.63,H7,H7.63,"Der passive Rechnungsabgrenzungsposten enthält Einnahmen vor dem Bilanzstichtag, soweit sie zu Erträgen nach dem Bilanzstichtag führen."
200,"8.66, 59","H7, H76","H7.66, H76","Im Rahmen des BilRUG wurde die Definition der Umsatzerlöse angepasst. Umsatzerlöse sind nun auch solche Erlöse, die nicht aus der typischen Geschäftstätigkeit stammen."
201,8.66,H7,H7.66,"Von den Brutto-Umsatzerlösen wird die Energiesteuer offen abgesetzt. Diese enthält Aufwendungen aus Energiesteuer in Höhe von TEUR 5.644.789 (Vorjahr TEUR 5.687.740), die gemäß § 277 Abs. 1 HGB direkt mit dem Umsatz verbunden und damit von den Bruttoerlösen abzuziehen sind."
